yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
199510,581.5,13.646,34.7733,0.2744202453,0.0528,0.0712,0.0775,0.0641,0.0122212523,0.0047,0.0032637076,0.0294,0.0185,0.0004878173,2.07943e-05,-0.003442,-0.004864
199511,605.37,13.717,34.3667,0.2571688515,0.0536,0.0702,0.0768,0.0623,0.0168709535,0.0042,-0.0006506181,0.0249,0.0242,0.0005461627,-7.79813e-05,0.044179,0.041338
199512,615.93,13.788,33.96,0.2550263829,0.0514,0.0682,0.0749,0.0603,0.0155265173,0.0049,-0.0006510417,0.0272,0.0228,0.0008205365,-0.0001466042,0.017643,0.015809
199601,636.02,13.8933,33.9867,0.2418771721,0.05,0.0681,0.0747,0.0609,0.0161278629,0.0043,0.0058631922,-0.0011,0.0014,0.0013839551,-5.31418e-05,0.034861,0.033415
199602,640.43,13.9987,34.0133,0.2378947371,0.0483,0.0699,0.0763,0.0659,0.0168013686,0.0039,0.003238342,-0.0483,-0.0373,0.0012676309,-0.0002278549,0.010088,0.007689
199603,645.5,14.104,34.04,0.2392996154,0.0496,0.0735,0.0803,0.0684,0.0168919131,0.0039,0.0051646223,-0.021,-0.013,0.0017417161,3.05558e-05,0.009585,0.00786
199604,654.17,14.1603,34.33,0.2400758062,0.0495,0.075,0.0819,0.0706,0.0211219538,0.0046,0.0038535645,-0.0165,-0.016,0.0009818376,6.82249e-05,0.015133,0.013857
199605,669.12,14.2167,34.62,0.2369235155,0.0502,0.0762,0.083,0.0717,0.0264191545,0.0042,0.0019193858,-0.0054,0.0005,0.0011252912,-0.0002545209,0.025257,0.02253
199606,670.63,14.273,34.91,0.2364437252,0.0509,0.0771,0.084,0.0703,0.0272161737,0.004,0.0006385696,0.0203,0.0172,0.0003948038,-0.0008478904,0.004128,0.002562
199607,639.95,14.4033,35.2733,0.2418198938,0.0515,0.0765,0.0835,0.0707,0.0311368642,0.0045,0.0019144863,0.0018,0.001,0.0023551484,-0.0004704749,-0.044444,-0.046048
199608,651.99,14.5337,35.6367,0.2380611179,0.0505,0.0746,0.0818,0.0726,0.0308861056,0.0041,0.001910828,-0.0139,-0.007,0.0011215207,-0.0003522358,0.021928,0.019589
199609,687.31,14.664,36.0,0.2272973181,0.0509,0.0766,0.0835,0.0704,0.0295807368,0.0044,0.0031786395,0.029,0.0259,0.000686243,-0.0005386936,0.056035,0.054112
199610,705.27,14.7423,36.91,0.2217476558,0.0499,0.0739,0.0807,0.0671,0.0256558088,0.0042,0.0031685678,0.0404,0.0361,0.000606645,-0.0005314503,0.026798,0.025348
199611,757.02,14.8207,37.82,0.2050079191,0.0503,0.071,0.0779,0.0643,0.0220673413,0.0041,0.0018951358,0.0351,0.0263,0.0007037354,-0.0006139252,0.076441,0.074218
199612,740.74,14.899,38.73,0.2073427297,0.0491,0.072,0.0789,0.0673,0.0241256867,0.0046,0.0,-0.0256,-0.0186,0.0017090846,-0.0003967552,-0.019798,-0.021518
199701,786.16,14.9523,39.2333,0.1962401029,0.0503,0.0742,0.0809,0.0689,0.0244069327,0.0045,0.0031525851,-0.0079,-0.0028,0.0013600822,-0.0007941293,0.062827,0.061689
199702,790.82,15.0057,39.7367,0.1943954108,0.0501,0.0731,0.0794,0.0694,0.0229109266,0.0039,0.0031426776,0.0005,0.0028,0.0014747914,-0.0013029057,0.007752,0.0058
199703,757.12,15.059,40.24,0.2147802023,0.0514,0.0755,0.0818,0.0723,0.0211485434,0.0043,0.0025062657,-0.0252,-0.0221,0.0020014615,-0.0013083062,-0.041688,-0.04331
199704,801.34,15.093,40.3433,0.2017410478,0.0516,0.0773,0.0834,0.0705,0.0169452901,0.0043,0.00125,0.0255,0.0184,0.003005081,-0.000871922,0.060274,0.059016
199705,848.28,15.127,40.4467,0.1928785879,0.0505,0.0758,0.082,0.0701,0.0132644502,0.0049,-0.0006242197,0.0097,0.0128,0.0020074558,-0.0008784074,0.061401,0.059272
199706,885.14,15.161,40.55,0.184287615,0.0493,0.0741,0.0802,0.0688,0.010846707,0.0037,0.0012492192,0.0195,0.0187,0.0019744632,-0.0006620977,0.044103,0.042762
199707,954.29,15.2183,40.58,0.171964943,0.0505,0.0714,0.0775,0.0637,0.0115926587,0.0043,0.0012476606,0.0626,0.0528,0.0020102151,-0.0006272571,0.080388,0.078977
199708,899.47,15.2757,40.61,0.1855054038,0.0514,0.0722,0.0782,0.0672,0.012877263,0.0041,0.0018691589,-0.0317,-0.024,0.0024647217,-0.0004309205,-0.054975,-0.056458
199709,947.28,15.333,40.64,0.177967857,0.0495,0.0715,0.077,0.0649,0.0146342661,0.0044,0.0024875622,0.0316,0.0226,0.0026264943,-0.0007428601,0.053886,0.052408
199710,914.62,15.3877,40.3333,0.1900006773,0.0497,0.07,0.0757,0.0623,0.0162628256,0.0042,0.0024813896,0.0341,0.0191,0.0093638214,-0.0005992388,-0.032605,-0.03373
199711,955.4,15.4423,40.0267,0.1807462988,0.0514,0.0687,0.0742,0.0614,0.0156672081,0.0039,-0.0006188119,0.0148,0.0101,0.00266211,-0.0007918427,0.046321,0.044625
199712,970.43,15.497,39.72,0.1788008842,0.0516,0.0676,0.0732,0.0602,0.0155594713,0.0048,-0.0012383901,0.0184,0.0163,0.0022493744,-0.000888779,0.017147,0.0157
199801,980.28,15.545,39.66,0.1788402734,0.0504,0.0661,0.0719,0.0589,0.0137396363,0.0043,0.0018598884,0.02,0.0137,0.0024688425,-0.0007004554,0.011994,0.01108
